Name ,Location ,Center Phone ,Region ,LIs transplanted - Year 1,LIs transplanted - Year 2,LIs transplanted - Year 3,LIs transplanted - Year 4,LIs transplanted - Year 5
ALOB - Legacy of Hope,"Birmingham, AL",205-731-9200,3,104,96,137,139,134
AROR - Arkansas Regional Organ Recovery Agency,"Little Rock, AR",501-907-9150,3,52,46,43,39,42
AZOB - Donor Network of Arizona,"Phoenix, AZ",602-222-2200,5,122,129,145,168,192
CAOP - OneLegacy,"Los Angeles, CA",213-229-5600,5,243,227,228,237,256
CASD - Lifesharing - A Donate Life Organization,"San Diego, CA",619-5437225,5,59,48,68,52,72
CADN - Donor Network West,"San Ramon, CA",888-570-9400,5,266,298,293,322,342
CAGS - Sierra Donor Services,"West Sacramento, CA",916-567-1600,5,62,78,71,84,97
CORS - Donor Alliance,"Denver, CO",303-329-4747,8,92,75,79,87,99
FLUF - LifeQuest Organ Recovery Services,"Gainesville, FL",352-733-0350,3,28,36,24,39,47
FLFH - TransLife,"Maitland, FL",407-644-3770,3,84,100,93,102,105
FLMP - Life Alliance Organ Recovery Agency,"Miami, FL",305-243-7622,3,61,72,88,125,114
FLWC - LifeLink of Florida,"Tampa, FL",813-253-2640,3,119,136,119,152,127
GALL - LifeLink of Georgia,"Norcross, GA",770-225-5465,3,116,114,135,109,132
HIOP - Legacy of Life Hawaii,"Honolulu, HI",808-599-7630,6,142,181,183,188,176
IAOP - Iowa Donor Network,"North Liberty, IA",319-665-3787,8,252,242,270,252,252
ILIP - Gift of Hope Organ & Tissue Donor Network,"Itasca, IL",630-758-2600,7,29,20,24,20,21
INOP - Indiana Donor Network,"Indianapolis, IN",317-685-0389,10,50,46,34,31,53
MWOB - Midwest Transplant Network,"Westwood, KS",913-262-1668,8,215,272,289,283,311
KYDA - Kentucky Organ Donor Affiliates,"Louisville, KY",502-581-9511,11,99,144,146,153,140
LAOP - Louisiana Organ Procurement Agency,"Covington, LA",504-837-3355,3,107,78,107,78,92
MAOB - New England Organ Bank,"Waltham, MA",617-244-8000,1,160,166,172,152,186
CTOP - LifeChoice Donor Services,"Waltham, MA",860-286-3120,1,154,161,220,224,222
MDPC - The Living Legacy Foundation of Maryland,"Baltimore, MD",410-242-7000,2,110,117,145,159,126
MIOP - Gift of Life Michigan,"Ann Arbor, MI",866-500-5801,10,186,184,192,247,205
MNOP - LifeSource Upper Midwest Organ Procurement Organization,"Minneapolis, MN",612-800-6100,7,125,112,123,127,129
MOMA - Mid-America Transplant Services,"St Louis, MO",314-367-6767,8,129,136,147,158,166
MSOP - Mississippi Organ Recovery Agency,"Flowood, MS",601-933-1000,3,58,47,60,75,64
NCCM - LifeShare Carolinas,"Charlotte, NC",704-512-3303,11,154,147,139,166,185
NCNC - Carolina Donor Services,"Greenville, NC",252-757-0090,11,73,62,69,87,77
NEOR - Live On Nebraska,"Omaha, NE",402-733-1800,8,104,123,114,141,157
NJTO - New Jersey Organ and Tissue Sharing Network OPO,"New Providence, NJ",908-516-5400,2,57,63,50,51,52
NMOP - New Mexico Donor Services,"Albuquerque, NM",505-843-7672,5,91,100,148,139,127
NVLV - Nevada Donor Network,"Las Vegas, NV",702-796-9600,5,33,34,43,37,38
NYAP - Center for Donation and Transplant,"Albany, NY",518-262-5606,9,87,68,68,96,107
NYWN - Upstate New York Transplant Services Inc,"Buffalo, NY",716-529-4300,9,43,39,37,35,44
NYRT - LiveOnNY,"New York, NY",646-291-4444,9,23,30,31,29,38
NYFL - Finger Lakes Donor Recovery Network,"Rochester, NY",585-272-4930,9,204,185,200,228,226
OHOV - LifeCenter Organ Donor Network,"Cincinnati, OH",513-558-5555,10,25,26,32,37,21
OHLB - Lifebanc,"Cleveland, OH",216-752-5433,10,86,101,103,135,130
OHLP - Lifeline of Ohio,"Columbus, OH",614-291-5667,10,51,57,48,53,41
OHLC - Life Connection of Ohio,"Maumee, OH",419-893-4891,10,55,69,55,96,118
OKOP - LifeShare Transplant Donor Services of Oklahoma,"Oklahoma City, OK",405-840-5551,4,41,49,57,62,65
ORUO - Pacific Northwest Transplant Bank,"Portland, OR",503-494-5560,6,77,105,108,100,123
PADV - Gift of Life Donor Program,"Philadelphia, PA",215-557-8090,2,71,64,87,79,86
PATF - Center for Organ Recovery and Education,"Pittsburgh, PA",412-963-3550,2,312,308,328,380,390
PRLL - LifeLink of Puerto Rico,"Guaynabo, PR",787-277-0900,3,140,146,155,184,160
SCOP - We Are Sharing Hope SC,"Charleston, SC",843-763-7755,11,87,94,87,79,68
TNMS - Mid-South Transplant Foundation,"Cordova, TN",901-328-4438,11,85,105,112,125,132
TNDS - Tennessee Donor Services,"Nashville, TN",615-234-5251,11,198,212,240,246,220
TXSB - Southwest Transplant Alliance,"Dallas, TX",214-522-0255,4,63,43,54,55,57
TXGC - LifeGift Organ Donation Center,"Fort Worth, TX",713-523-4438,4,223,197,259,283,286
TXSA - Texas Organ Sharing Alliance,"San Antonio, TX",210-614-7030,4,106,111,125,101,130
UTOP - DonorConnect,"Salt Lake City, UT",801-521-1755,5,212,253,291,333,285
DCTC - Washington Regional Transplant Community,"Falls Church, VA",703-641-0100,2,63,81,64,72,83
VATB - LifeNet Health,"Virginia Beach, VA",757-464-4761,11,99,106,99,111,111
WALC - LifeCenter Northwest,"Bellevue, WA",425-201-6563,6,108,135,139,147,164
WIUW - UW Health Organ and Tissue Donation,"Madison, WI",608-265-0356,7,42,67,56,78,67
"WIDN - Versiti Wisconsin, Inc","Milwaukee, WI",414-937-6999,7,95,94,100,103,101